matricula_aluno,nome_aluno,codigo_instituicao,nome_instituicao,sexo_aluno,id_curso,nome_curso,turno_curso,turma_aluno,periodo_inicial_aluno,codigo_departamento,nome_departamento
20231ENPRO0518,,,Campus Cariacica,F,,Engenharia de Produção,Integral,,2023/1,,
20241FISIC0348,,,Campus Cariacica,F,,Licenciatura em Física,Integral,,2024/1,,
20241ENPRO0426,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2024/1,,
20241ECON0259,,,Campus Cariacica,F,,Bacharelado em Ciências Econômicas,Noturno,,2024/1,,
20232ECON0028,,,Campus Cariacica,F,,Bacharelado em Ciências Econômicas,Noturno,20251.ECON.1N,2025/1,,
20251ECON0249,,,Campus Cariacica,F,,Bacharelado em Ciências Econômicas,Noturno,20251.ECON.1N,2025/1,,
20221ENPRO0138,,,Campus Cariacica,F,,Engenharia de Produção,Integral,,2022/1,,
20231ENPRO0470,,,Campus Cariacica,F,,Engenharia de Produção,Integral,,2023/1,,
20241ENPRO0183,,,Campus Cariacica,F,,Engenharia de Produção,Integral,,2024/1,,
20201ENPRO0024,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2020/1,,
20221ENPRO0383,,,Campus Cariacica,F,,Engenharia de Produção,Integral,,2022/1,,
20241ENPRO0361,,,Campus Cariacica,F,,Engenharia de Produção,Integral,,2024/1,,
20251FISIC0159,,,Campus Cariacica,M,,Licenciatura em Física,Integral,20251.FISIC.1,2025/1,,
20241ECON0267,,,Campus Cariacica,M,,Bacharelado em Ciências Econômicas,Noturno,,2024/1,,
20231ENPRO0348,,,Campus Cariacica,F,,Engenharia de Produção,Integral,,2023/1,,
20221ENPRO0154,,,Campus Cariacica,F,,Engenharia de Produção,Integral,,2022/1,,
20231ENPRO0135,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2023/1,,
20201ENPRO0005,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2020/1,,
20221ENPRO0057,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2022/1,,
20251FISIC0094,,,Campus Cariacica,M,,Licenciatura em Física,Integral,20251.FISIC.1,2025/1,,
20181ENPRO0025,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2018/1,,
20251ECON0060,,,Campus Cariacica,M,,Bacharelado em Ciências Econômicas,Noturno,20251.ECON.1N,2025/1,,
20171ENPRO0022,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2017/1,,
20251ECON0214,,,Campus Cariacica,M,,Bacharelado em Ciências Econômicas,Noturno,20251.ECON.1N,2025/1,,
20251ECON0176,,,Campus Cariacica,M,,Bacharelado em Ciências Econômicas,Noturno,20251.ECON.1N,2025/1,,
20251FISIC0124,,,Campus Cariacica,M,,Licenciatura em Física,Integral,20251.FISIC.1,2025/1,,
20211ENPRO0351,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2021/1,,
20231ENPRO0542,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2023/1,,
20221ENPRO0200,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2022/1,,
20231ENPRO0313,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2023/1,,
